Ip,Ton,Toff,Vs,MRR,SR,Surrogate
20,110,58,222,7.741612021561349,1.937185551893428,SVR
30,116,50,237,8.820487654351211,3.012539172027789,SVR
20,111,60,228,7.993219214770885,2.0210028970197076,SVR
20,112,60,228,8.039917823978547,2.0768252025574494,SVR
21,113,60,230,8.19862793338801,2.2461618047891214,SVR
28,112,60,231,8.583779834306846,2.669616962852833,SVR
20,113,60,229,8.089338580082046,2.1254164866276466,SVR
20,110,59,235,7.930092469667301,1.962102429263514,SVR
20,111,60,236,8.038069234147745,2.0366212758389257,SVR
20,110,60,237,7.984804903897244,1.982380932762248,SVR
25,111,60,234,8.439057985978147,2.5028183535713326,SVR
30,112,50,233,8.721816309696068,2.864482154248662,SVR
30,114,50,231,8.772163042439907,2.9423897077470773,SVR
28,113,60,232,8.62771984408729,2.718969030709513,SVR
24,112,60,233,8.425651458943813,2.491334858466453,SVR
30,116,60,237,8.716197051650408,2.831956161839023,SVR
21,112,60,236,8.18934531050284,2.215735901258198,SVR
23,112,60,235,8.364518345023335,2.4202531469329602,SVR
20,112,60,236,8.087154922193966,2.093676151204364,SVR
24,110,60,236,8.328810209203347,2.3841936976124414,SVR
23,111,60,230,8.286309189824147,2.347873893821236,SVR
30,111,60,236,8.576540893330746,2.6404081225969596,SVR
20,110,60,230,7.960077173042945,1.9622405151169797,SVR
22,112,60,234,8.27945660668336,2.3199993272267503,SVR
30,113,50,237,8.767903204772562,2.928083646132797,SVR
20,110,59,229,7.896493410440234,1.9478101784290676,SVR
28,110,60,233,8.491594188654389,2.5555228035679485,SVR
30,113,60,234,8.65760165286397,2.73364570673857,SVR
20,114,60,236,8.156274672460764,2.182160835757485,SVR
30,112,60,236,8.623688570679253,2.6948780498984517,SVR
28,114,60,234,8.664113652540607,2.7616212271200524,SVR
20,113,60,232,8.114290836456465,2.12988565368907,SVR
28,113,50,232,8.731150562261378,2.8996222210462275,SVR
23,113,60,232,8.388168451184947,2.455930210397993,SVR
30,115,60,237,8.708253554758397,2.8133379490981287,SVR
30,114,50,233,8.784963918933265,2.9475647222936425,SVR
21,114,60,233,8.247827782111486,2.2905879354369563,SVR
30,113,60,232,8.647894154234473,2.727612486709261,SVR
20,110,60,235,7.98267231050895,1.9726438877690011,SVR
24,111,60,234,8.381525415237407,2.4384236969541284,SVR
22,114,60,232,8.333698624666955,2.397462310006944,SVR
24,111,60,235,8.384618212991098,2.4426423842526384,SVR
22,110,60,234,8.171908932601172,2.197709072212645,SVR
25,111,60,236,8.443156355974725,2.511095902519779,SVR
22,112,60,236,8.284011792779934,2.3284965942313036,SVR
30,111,60,231,8.55633749452826,2.623788125709541,SVR
30,113,60,236,8.661787998157463,2.742030630776513,SVR
20,110,58,232,7.876987398327236,1.946713016348534,SVR
22,111,60,236,8.23464054523601,2.2709627935925774,SVR
20,111,60,231,8.019964456579642,2.022525448025176,SVR
24,110,60,234,8.323727181003552,2.3747725065680947,SVR
20,114,60,233,8.148615916357631,2.171173553341422,SVR
20,110,58,223,7.76306675827167,1.9374046070536886,SVR
24,111,60,232,8.371211576953412,2.431782238469738,SVR
26,110,60,230,8.405173385757683,2.482319888524121,SVR
26,112,60,233,8.530515659217027,2.60752641997053,SVR
27,110,60,230,8.4435155339774,2.5223443279368496,SVR
20,110,58,229,7.853947121592535,1.941231003508357,SVR
30,113,60,231,8.640954736497214,2.7254501107902422,SVR
20,111,60,233,8.030868304712937,2.0261945223392104,SVR
20,110,58,224,7.783130972413337,1.9379473123135411,SVR
28,111,60,232,8.542730330353976,2.615165080133114,SVR
30,114,50,237,8.794884236527702,2.9653363438046747,SVR
20,111,60,229,8.003749703914393,2.0211882377567036,SVR
26,112,60,234,8.534419251298845,2.6104573618340337,SVR
