Ip,Ton,Toff,Vs,MRR,SR,Surrogate
20,110,58,223,7.76447057723999,1.9592218399047852,XGBoost
30,116,50,237,8.798738479614258,2.9838550090789795,XGBoost
20,110,58,226,7.839719295501709,1.9617012739181519,XGBoost
20,110,60,227,7.924915790557861,1.9749321937561035,XGBoost
20,110,60,228,7.969790935516357,1.976629614830017,XGBoost
30,116,50,233,8.794589042663574,2.9741175174713135,XGBoost
20,111,60,239,8.037435531616211,2.0597164630889893,XGBoost
30,112,50,233,8.717246055603027,2.849057197570801,XGBoost
30,112,50,238,8.72131633758545,2.8728249073028564,XGBoost
22,111,60,228,8.214993476867676,2.2587056159973145,XGBoost
23,110,60,230,8.249974250793457,2.283843517303467,XGBoost
23,111,60,233,8.304397583007812,2.3371434211730957,XGBoost
24,110,60,235,8.335235595703125,2.391904354095459,XGBoost
20,113,60,232,8.105306625366211,2.122117280960083,XGBoost
22,110,60,237,8.20270824432373,2.235804319381714,XGBoost
24,110,60,233,8.334854125976562,2.374709129333496,XGBoost
23,110,60,233,8.266685485839844,2.285557270050049,XGBoost
30,114,50,238,8.791187286376953,2.9479057788848877,XGBoost
25,114,60,233,8.548076629638672,2.628153085708618,XGBoost
20,110,58,227,7.855188846588135,1.9633561372756958,XGBoost
22,111,60,233,8.236674308776855,2.2623062133789062,XGBoost
20,110,59,226,7.883461952209473,1.9643055200576782,XGBoost
21,110,60,228,8.058265686035156,2.0810699462890625,XGBoost
25,110,60,233,8.386265754699707,2.435332775115967,XGBoost
20,110,60,233,7.984323501586914,1.9786057472229004,XGBoost
22,114,60,232,8.350064277648926,2.3920934200286865,XGBoost
20,113,59,234,8.084776878356934,2.1200315952301025,XGBoost
20,111,60,233,8.019915580749512,2.0170199871063232,XGBoost
25,110,60,230,8.367582321166992,2.4287164211273193,XGBoost
20,110,59,230,7.911576747894287,1.9672901630401611,XGBoost
30,117,60,237,8.703229904174805,2.8392200469970703,XGBoost
22,111,60,231,8.228736877441406,2.2601213455200195,XGBoost
23,114,60,234,8.436986923217773,2.500138998031616,XGBoost
25,114,60,235,8.554131507873535,2.630706548690796,XGBoost
27,114,60,236,8.651982307434082,2.725541114807129,XGBoost
20,111,60,237,8.033408164978027,2.037470817565918,XGBoost
20,114,60,232,8.134537696838379,2.156402826309204,XGBoost
20,113,60,235,8.120915412902832,2.1314709186553955,XGBoost
30,114,60,237,8.690168380737305,2.780881404876709,XGBoost
20,110,60,235,7.985909938812256,1.9920848608016968,XGBoost
20,113,60,237,8.124409675598145,2.1543221473693848,XGBoost
20,115,60,234,8.159557342529297,2.203594207763672,XGBoost
27,114,60,237,8.652547836303711,2.7421035766601562,XGBoost
30,114,50,230,8.775321960449219,2.937748432159424,XGBoost
27,114,60,233,8.645927429199219,2.7240657806396484,XGBoost
27,113,50,239,8.729857444763184,2.8736371994018555,XGBoost
22,114,60,236,8.364419937133789,2.401750326156616,XGBoost
27,113,59,235,8.564322471618652,2.6666934490203857,XGBoost
22,111,60,234,8.242730140686035,2.275893449783325,XGBoost
28,113,50,238,8.742605209350586,2.8937880992889404,XGBoost
28,113,50,239,8.736677169799805,2.8872153759002686,XGBoost
30,113,50,239,8.756855964660645,2.9007725715637207,XGBoost
27,110,60,235,8.460649490356445,2.5285544395446777,XGBoost
27,113,50,238,8.735533714294434,2.8802099227905273,XGBoost
23,110,60,235,8.267066955566406,2.297337532043457,XGBoost
22,110,60,235,8.19458293914795,2.227262020111084,XGBoost
22,114,60,233,8.356854438781738,2.398131847381592,XGBoost
25,111,60,231,8.397000312805176,2.47088360786438,XGBoost
25,114,60,237,8.554697036743164,2.6461970806121826,XGBoost
25,111,60,233,8.412437438964844,2.477506637573242,XGBoost
23,114,60,233,8.427997589111328,2.492915153503418,XGBoost
27,110,60,233,8.459749221801758,2.518129348754883,XGBoost
21,110,60,233,8.065776824951172,2.083326816558838,XGBoost
28,110,60,230,8.468961715698242,2.548771381378174,XGBoost
28,114,50,233,8.765913009643555,2.928457260131836,XGBoost
27,110,60,237,8.467765808105469,2.53682017326355,XGBoost
30,111,60,233,8.53088665008545,2.5966763496398926,XGBoost
26,110,60,233,8.423070907592773,2.4843595027923584,XGBoost
